                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70455,                 3.2445,                 2.8206,                 1.1829,                0.35468,                0.35348,                0.30021,                0.22342,                0.35288,                0.35556,                0.29034,                0.21147,                0.84514,                 2.1394,                 2.3054,                 1.4372,             0.00025518,             0.00025518,             0.00025518
                      2,                0.71759,                 1.8686,                 2.0707,                 1.1874,                 0.4227,                0.43809,                0.40525,                0.29676,                0.42535,                0.43055,                 0.4002,                0.29212,                0.93383,                 2.0606,                 2.1754,                 1.4735,             0.00050645,             0.00050645,             0.00050645
                      3,                0.74691,                 1.7568,                 1.8889,                 1.2026,                0.34354,                0.48215,                0.37332,                0.26193,                 0.3387,                 0.4778,                0.36805,                  0.266,                0.99935,                  1.938,                 2.1895,                 1.6036,             0.00075264,             0.00075264,             0.00075264
                      4,                0.74222,                 1.7192,                 1.7833,                 1.1921,                0.49359,                0.43976,                0.42338,                0.30341,                0.46574,                0.44501,                0.41745,                0.30837,                0.93163,                 1.7853,                 1.9518,                  1.455,             0.00074616,             0.00074616,             0.00074616
                      5,                0.72315,                  1.691,                 1.6626,                 1.1808,                0.53863,                0.54164,                0.56265,                0.43292,                0.53642,                0.54033,                0.56483,                0.43483,                 0.8422,                 1.7895,                 1.6923,                 1.3819,             0.00073855,             0.00073855,             0.00073855
                      6,                0.70897,                 1.6295,                 1.5543,                 1.1719,                0.68425,                0.56812,                0.65266,                0.50626,                0.68463,                0.56815,                0.64768,                0.51531,                0.82535,                 1.6561,                 1.4718,                 1.3773,             0.00073093,             0.00073093,             0.00073093
                      7,                0.66767,                  1.546,                  1.446,                 1.1471,                0.64683,                0.51916,                0.56279,                0.44443,                0.64183,                0.51342,                0.55626,                0.43983,                0.81528,                 1.6392,                 1.7017,                 1.3675,             0.00072332,             0.00072332,             0.00072332
                      8,                0.67296,                 1.5602,                 1.4102,                  1.152,                 0.6129,                0.55831,                0.60355,                 0.4699,                0.60658,                0.55522,                0.59178,                0.46569,                0.80112,                 1.6165,                 1.5297,                 1.3514,             0.00071571,             0.00071571,             0.00071571
                      9,                0.65428,                 1.4725,                 1.3405,                 1.1426,                0.58721,                0.55494,                0.58852,                0.45707,                0.57731,                0.55041,                0.57538,                0.45675,                 0.8287,                 1.7806,                 1.6111,                 1.3914,              0.0007081,              0.0007081,              0.0007081
                     10,                0.63872,                 1.4532,                 1.2901,                 1.1255,                0.71541,                0.61621,                0.70868,                0.57039,                0.71514,                0.61552,                0.70354,                0.58006,                0.75253,                 1.5027,                 1.3118,                 1.2785,             0.00070048,             0.00070048,             0.00070048
                     11,                 0.6287,                 1.4578,                 1.2454,                 1.1268,                0.68622,                0.66631,                 0.7103,                0.57749,                 0.6749,                0.66012,                0.69829,                0.57651,                0.73997,                 1.5717,                 1.3475,                  1.271,             0.00069287,             0.00069287,             0.00069287
                     12,                0.62854,                 1.4102,                 1.2353,                 1.1198,                0.74438,                0.62604,                0.72869,                0.60117,                0.74307,                0.62289,                0.72179,                0.59827,                0.71365,                  1.523,                  1.264,                  1.242,             0.00068526,             0.00068526,             0.00068526
                     13,                0.60807,                 1.3658,                 1.1818,                  1.108,                0.72148,                0.64808,                0.71918,                0.59598,                0.71849,                0.64289,                0.70901,                0.58975,                0.70707,                 1.4921,                 1.1801,                 1.2496,             0.00067764,             0.00067764,             0.00067764
                     14,                0.61172,                 1.3844,                 1.1707,                 1.1038,                0.63929,                0.63875,                0.67633,                0.55073,                0.63329,                0.63311,                0.66545,                0.52731,                0.72311,                 1.6748,                 1.4192,                 1.2632,             0.00067003,             0.00067003,             0.00067003
                     15,                0.59369,                 1.3395,                 1.1114,                 1.1031,                0.69819,                0.67035,                0.71571,                0.58858,                0.69606,                0.65677,                0.70622,                0.58536,                  0.692,                 1.4755,                 1.2669,                  1.236,             0.00066242,             0.00066242,             0.00066242
                     16,                0.58624,                 1.3107,                 1.0939,                 1.0984,                0.65994,                0.71828,                0.74455,                0.62333,                0.70622,                0.65953,                0.73563,                0.61622,                0.69952,                 1.4433,                 1.1895,                 1.2267,              0.0006548,              0.0006548,              0.0006548
                     17,                0.58868,                 1.3431,                 1.0904,                 1.0911,                0.73931,                0.65342,                0.70902,                0.57413,                0.74489,                0.64311,                0.70302,                0.57602,                0.74798,                 1.5516,                 1.3613,                 1.2886,             0.00064719,             0.00064719,             0.00064719
                     18,                0.59023,                 1.3307,                 1.0571,                  1.089,                0.73225,                0.70042,                0.75323,                0.61713,                0.72505,                0.69377,                0.74191,                0.62242,                0.69666,                 1.4963,                 1.0708,                 1.2344,             0.00063958,             0.00063958,             0.00063958
                     19,                0.58017,                 1.3157,                 1.0457,                 1.0836,                0.76152,                0.67907,                0.75754,                0.62351,                0.76044,                0.67748,                0.74917,                0.63018,                0.70767,                 1.4345,                 1.1931,                 1.2594,             0.00063196,             0.00063196,             0.00063196
                     20,                0.57736,                 1.2828,                  1.031,                 1.0793,                0.72251,                0.66105,                0.73087,                0.60108,                0.72184,                0.65869,                0.72481,                0.60266,                0.68215,                 1.4622,                 1.2452,                  1.226,             0.00062435,             0.00062435,             0.00062435
                     21,                0.56486,                 1.3174,                 1.0065,                 1.0742,                 0.8152,                0.67722,                  0.777,                0.64915,                0.81353,                0.67717,                0.76916,                0.64221,                0.68159,                 1.4941,                 1.1294,                 1.2073,             0.00061674,             0.00061674,             0.00061674
                     22,                0.56681,                 1.2904,                 1.0016,                 1.0775,                 0.7712,                0.68359,                0.78441,                0.65011,                0.76428,                 0.6826,                0.77378,                0.65075,                0.68639,                 1.3993,                 1.0912,                 1.2166,             0.00060912,             0.00060912,             0.00060912
                     23,                0.55376,                 1.2451,                0.97308,                 1.0699,                0.77188,                0.74816,                 0.8049,                0.65256,                0.77716,                0.74454,                0.79692,                0.66559,                0.68774,                 1.4199,                 1.0003,                 1.2169,             0.00060151,             0.00060151,             0.00060151
